assay,cutoff,gene_filter,fc_mode,dataset,group,m_pairs,frac_raw,frac_bonf
proteomics,rel20_abs0.1,high,filtered,Goelzer_2015,oriC,10,0.8,0.7
proteomics,rel20_abs0.1,high,filtered,Goelzer_2015,ter,10,0,0
proteomics,rel20_abs0.1,high,filtered,li_2014_all,oriC,3,1,1
proteomics,rel20_abs0.1,high,filtered,li_2014_all,ter,3,0,0
proteomics,rel20_abs0.1,high,filtered,peebo_2015,oriC,184,1,1
proteomics,rel20_abs0.1,high,filtered,peebo_2015,ter,184,0,0
proteomics,rel20_abs0.1,high,filtered,schmidt_2016,oriC,136,0.9558823529411765,0.9117647058823529
proteomics,rel20_abs0.1,high,filtered,schmidt_2016,ter,136,0,0
proteomics,rel20_abs0.1,high,filtered,valgepea_2013_prot,oriC,6,1,1
proteomics,rel20_abs0.1,high,filtered,valgepea_2013_prot,ter,6,0,0
proteomics,rel20_abs0.1,high,filtered,zhu_B_subtilis,oriC,41,0.9512195121951219,0.8780487804878049
proteomics,rel20_abs0.1,high,filtered,zhu_B_subtilis,ter,41,0,0
proteomics,rel20_abs0.1,high,filtered,zhu_E_coli,oriC,46,0.9347826086956522,0.8695652173913043
proteomics,rel20_abs0.1,high,filtered,zhu_E_coli,ter,46,0,0
proteomics,rel20_abs0.1,high,filtered,zhu_V_natriegens,oriC,50,0.96,0.92
proteomics,rel20_abs0.1,high,filtered,zhu_V_natriegens,ter,50,0,0
